loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti
3200, 36 months,7.35,A,10+ years,RENT,41000.0,Aug-2017,Fully Paid,credit_card,CA,2.69
8000, 36 months,13.18,C,6 years,MORTGAGE,80000.0,Nov-2015,Charged Off,debt_consolidation,NJ,9.54
25000, 36 months,8.9,A,10+ years,MORTGAGE,150000.0,Mar-2013,Fully Paid,credit_card,AZ,5.18
6000, 36 months,9.17,B,8 years,MORTGAGE,51000.0,Apr-2015,Fully Paid,other,CA,16.24
35000, 36 months,14.65,C,3 years,MORTGAGE,200000.0,Oct-2015,Fully Paid,debt_consolidation,OR,29.97
7000, 36 months,10.64,B,2 years,RENT,72000.0,Dec-2015,Fully Paid,debt_consolidation,TX,8.2
14000, 36 months,7.89,A,10+ years,MORTGAGE,157000.0,Nov-2015,Fully Paid,debt_consolidation,WI,9.19
11000, 36 months,9.32,A,3 years,RENT,65867.36,Mar-2009,Fully Paid,credit_card,CA,19.15
16000, 36 months,10.99,B,,MORTGAGE,72786.0,Sep-2016,Charged Off,debt_consolidation,TX,27.6
31225, 60 months,21.97,E,6 years,RENT,104000.0,Apr-2016,Charged Off,debt_consolidation,MI,10.72
21000, 60 months,19.48,E,10+ years,MORTGAGE,133308.0,Dec-2015,Fully Paid,credit_card,WA,24.17
12000, 36 months,11.67,B,1 year,RENT,50000.0,Jun-2014,Fully Paid,debt_consolidation,PA,15.99
7700, 36 months,11.49,B,,MORTGAGE,18336.0,Oct-2016,Fully Paid,credit_card,MI,12.3
6000, 36 months,16.29,D,2 years,RENT,39000.0,Apr-2016,Fully Paid,debt_consolidation,NC,27.75
7200, 36 months,14.31,C,< 1 year,RENT,34000.0,Jan-2015,Fully Paid,vacation,CA,23.05
35000, 60 months,16.99,D,10+ years,MORTGAGE,80000.0,Jan-2014,Fully Paid,debt_consolidation,NH,10.64
23000, 60 months,12.29,C,10+ years,MORTGAGE,51000.0,May-2015,Fully Paid,debt_consolidation,TX,21.11
8800, 36 months,8.18,B,1 year,RENT,35000.0,Nov-2015,Fully Paid,credit_card,OR,17.95
30000, 36 months,6.49,A,3 years,MORTGAGE,178000.0,Dec-2014,Fully Paid,debt_consolidation,NH,20.37
5000, 36 months,8.9,A,10+ years,MORTGAGE,150000.0,Apr-2013,Fully Paid,debt_consolidation,CT,13.82
40000, 60 months,8.39,B,4 years,MORTGAGE,114000.0,Mar-2016,Charged Off,credit_card,FL,13.43
10000, 36 months,11.47,B,10+ years,MORTGAGE,87258.0,Mar-2016,Fully Paid,debt_consolidation,MS,18.66
10000, 36 months,6.83,A,10+ years,MORTGAGE,68000.0,May-2018,Fully Paid,debt_consolidation,PA,13.5
28000, 36 months,15.31,C,2 years,RENT,74000.0,Jun-2016,Charged Off,credit_card,FL,34.17
20000, 36 months,8.18,B,4 years,MORTGAGE,86000.0,Jul-2015,Fully Paid,debt_consolidation,MA,17.36
27000, 60 months,11.44,B,5 years,OWN,97000.0,Oct-2016,Fully Paid,debt_consolidation,CA,23.38
15000, 36 months,20.31,D,3 years,MORTGAGE,100000.0,Jul-2013,Fully Paid,credit_card,MD,17.95
10000, 36 months,14.03,C,3 years,MORTGAGE,70000.0,Jun-2018,Fully Paid,vacation,TN,22.25
10000, 36 months,15.31,C,7 years,RENT,60000.0,Feb-2016,Fully Paid,debt_consolidation,CO,18.2
20975, 36 months,9.75,B,10+ years,OWN,150000.0,Mar-2016,Fully Paid,debt_consolidation,NY,9.48
